order,character,strongly_like,like,neutral,dislike,strongly_dislike,sr,count,gender,show,type_(currently_inaccurate),like total,dislike total,score,abs_score,checking,ENT
271,Remata'Klan,0.19,0.438,0.15,0.026,0.013,0.183,153,m,DS9,,0.628,0.039,0.766,0.766,1,FALSE
272,Jem'hadar boy,0.143,0.471,0.21,0.055,0.017,0.105,238,m,DS9,,0.614,0.072,0.668,0.668,1.001,FALSE
273,"Christobal ""Chris"" Rios",0.17,0.304,0.081,0.03,0.022,0.393,135,m,PIC,,0.474,0.052,0.57,0.57,1,FALSE
274,Neural parasite,0.053,0.241,0.256,0.128,0.068,0.256,133,?,LD,,0.294,0.196,0.083,0.083,1.002,FALSE
275,Commander Bruce Maddox,0,0.044,0.121,0.275,0.412,0.148,182,m,TNG,,0.044,0.687,-1.055,1.055,1,FALSE
276,Doctor Agnes P. Jurati,0.152,0.257,0.117,0.094,0.035,0.345,171,f,PIC,,0.409,0.129,0.397,0.397,1,FALSE
277,Doctor Zefram Cochrane,0.207,0.453,0.153,0.073,0.027,0.087,150,m,films,,0.66,0.1,0.74,0.74,1,FALSE
278,Keyla Detmer,0.235,0.375,0.11,0,0.015,0.265,136,f,DIS,,0.61,0.015,0.815,0.815,1,FALSE
279,Narissa,0.067,0.079,0.146,0.124,0.135,0.449,89,f,PIC,,0.146,0.259,-0.181,0.181,1,FALSE
280,Phlox's Pyrithian Bat,0.516,0.202,0.089,0.008,0.008,0.177,124,f,ENT,,0.718,0.016,1.21,1.21,1,TRUE
281,Ripper,0.293,0.195,0.13,0.024,0.024,0.333,123,m,DIS,,0.488,0.048,0.709,0.709,0.999,FALSE
282,Q Junior,0.07,0.19,0.204,0.211,0.134,0.19,142,m,VOY,,0.26,0.345,-0.149,0.149,0.999,FALSE
283,Joann Owosekun,0.398,0.263,0.053,0.008,0.008,0.271,133,f,DIS,,0.661,0.016,1.035,1.035,1.001,FALSE
284,Narek,0.048,0.096,0.096,0.192,0.135,0.433,104,m,PIC,,0.144,0.327,-0.27,0.27,1,FALSE
285,"Montgomery ""Scotty"" Scott",0.494,0.331,0.087,0.017,0.012,0.058,172,m,AOS,,0.825,0.029,1.278,1.278,0.999,FALSE
286,Soval (Mirror),0.114,0.159,0.091,0.114,0.045,0.477,88,m,ENT,,0.273,0.159,0.183,0.183,1,TRUE
287,Kashyk,0.057,0.095,0.048,0.257,0.19,0.352,105,m,VOY,,0.152,0.447,-0.428,0.428,0.999,FALSE
288,Torat,0.096,0.202,0.221,0.048,0,0.433,104,m,VOY,,0.298,0.048,0.346,0.346,1,FALSE
289,Edith Keeler,0.323,0.396,0.135,0.036,0.016,0.094,192,f,TOS,,0.719,0.052,0.974,0.974,1,FALSE
290,Number One,0.606,0.134,0.093,0.019,0.011,0.138,269,m,PIC,,0.74,0.03,1.305,1.305,1.001,FALSE
291,Doctor Noonien Soong,0.086,0.227,0.195,0.305,0.145,0.041,220,m,TNG,,0.313,0.45,-0.196,0.196,0.999,FALSE
292,Laris,0.202,0.193,0.168,0.05,0.017,0.37,119,f,PIC,,0.395,0.067,0.513,0.513,1,FALSE
293,Lieutenant James T. Kirk,0.19,0.282,0.19,0.097,0.077,0.164,195,m,SNW,,0.472,0.174,0.411,0.411,1,FALSE
294,,,,,,,,,,,,0,0,0,0,0,FALSE
295,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,
